epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1421,1.21413,3.9269,0.99921,0.00333,1,0.00552,0.00385,0.83145,3.62486,0.82246,2e-05,2e-05,2e-05
2,20.4243,0.97364,4.13462,0.89509,0.0031,0.92857,0.01407,0.0091,0.90251,3.61811,0.80315,5.9406e-05,5.9406e-05,5.9406e-05
3,30.3711,1.14537,3.67583,1.10629,0.00333,1,0.078,0.04259,0.94476,3.53314,0.80837,9.802e-05,9.802e-05,9.802e-05
4,39.381,0.93723,2.87047,0.93553,0.00333,1,0.53035,0.32418,0.94915,3.45245,0.81773,0.000135842,0.000135842,0.000135842
5,48.914,1.16979,2.78316,0.95736,0.00333,1,0.66595,0.36683,0.96668,3.50308,0.84264,0.000172872,0.000172872,0.000172872
6,58.1041,0.92083,2.31486,1.00677,0.00333,1,0.8785,0.45065,0.91927,3.53147,0.83929,0.00020911,0.00020911,0.00020911
7,67.8268,0.90355,1.67207,0.88482,0.00333,1,0.96793,0.37495,0.87115,3.57045,0.84533,0.000244556,0.000244556,0.000244556
8,78.491,1.00536,1.43674,0.94845,0.00333,1,0.44498,0.21476,0.80577,3.59448,0.85488,0.00027921,0.00027921,0.00027921
9,90.2806,1.0352,1.40006,0.9766,0.00334,1,0.35353,0.18564,0.87118,3.63292,0.8705,0.000313072,0.000313072,0.000313072
10,101.971,1.1043,1.60416,0.97716,0.00337,1,0.01678,0.01132,0.99699,3.66397,0.89195,0.000346142,0.000346142,0.000346142
11,113.493,0.99533,1.72791,0.95128,0.00336,1,0.01777,0.01068,1.04784,3.75109,0.91892,0.00037842,0.00037842,0.00037842
12,122.823,0.87455,1.50782,0.89756,0.00335,1,0.01766,0.01083,1.01973,3.71948,0.91002,0.000409906,0.000409906,0.000409906
13,131.884,0.95209,1.40796,0.96273,0.00336,1,0.01847,0.01286,0.86903,3.63435,0.8782,0.0004406,0.0004406,0.0004406
14,141.161,1.00058,1.5642,1.00059,0.00334,1,0.01748,0.01275,0.85573,3.63216,0.8677,0.000470502,0.000470502,0.000470502
15,151.261,0.90482,1.36162,0.94056,0.00333,1,0.01739,0.01248,0.93721,3.6571,0.87904,0.000499612,0.000499612,0.000499612
16,160.261,0.93751,1.50145,0.96688,0.00333,1,0.01641,0.0124,0.75653,3.60909,0.83279,0.00052793,0.00052793,0.00052793
17,169.758,0.81179,1.30062,0.87167,0.00333,1,0.01546,0.0121,0.76831,3.59859,0.84128,0.000555456,0.000555456,0.000555456
18,179.452,0.82641,1.35846,0.93204,0.00333,1,0.01517,0.01158,0.76282,3.56825,0.85193,0.00058219,0.00058219,0.00058219
19,188.602,0.99549,1.28832,0.94337,0.00333,1,0.01493,0.01117,0.77724,3.5548,0.86959,0.000608132,0.000608132,0.000608132
20,197.481,0.92598,1.29591,0.94899,0.00333,1,0.01477,0.01043,0.97214,3.57164,0.90456,0.000633282,0.000633282,0.000633282
21,206.78,1.03919,1.67908,1.02375,0.00333,1,0.01454,0.0099,0.96431,3.59243,0.89677,0.00065764,0.00065764,0.00065764
22,216.501,0.90321,1.26002,0.95745,0.00333,1,0.0139,0.0101,0.84714,3.52298,0.87002,0.000681206,0.000681206,0.000681206
23,225.941,1.03569,1.28494,0.92275,0.00333,1,0.01337,0.01022,0.74133,3.49377,0.85217,0.00070398,0.00070398,0.00070398
24,235.165,0.96494,1.23273,0.98838,0.00333,1,0.01287,0.01027,0.75701,3.5213,0.84684,0.000725962,0.000725962,0.000725962
25,244.451,1.00585,1.35222,0.98646,0.00333,1,0.01273,0.00941,0.83119,3.49032,0.85871,0.000747152,0.000747152,0.000747152
26,253.674,0.96437,1.22551,0.94669,0.00333,1,0.03603,0.02852,0.8579,3.5079,0.87892,0.00076755,0.00076755,0.00076755
27,262.591,0.96986,1.2384,1.0244,0.00333,1,0.43169,0.3786,0.84603,3.45568,0.87781,0.000787156,0.000787156,0.000787156
28,271.761,0.83678,1.25912,0.88861,0.00333,1,0.43169,0.3786,0.84603,3.45568,0.87781,0.00080597,0.00080597,0.00080597
29,280.881,0.91538,1.38058,0.88776,0.00333,1,0.43101,0.38126,0.74687,3.38015,0.85091,0.000823992,0.000823992,0.000823992
30,290.091,0.95565,1.10682,0.96098,0.00333,1,0.43083,0.36815,0.72369,3.29629,0.84069,0.000841222,0.000841222,0.000841222
31,299.351,0.88591,1.50876,0.89507,0.00333,1,0.43083,0.36815,0.72369,3.29629,0.84069,0.00085766,0.00085766,0.00085766
32,308.499,0.7607,1.42754,0.84105,0.00333,1,0.43089,0.35035,0.7319,3.22093,0.84277,0.000873306,0.000873306,0.000873306
33,317.751,0.82126,1.13166,0.89771,0.00333,1,0.43158,0.35575,0.73781,3.11155,0.85835,0.00088816,0.00088816,0.00088816
34,327.775,0.86519,1.14652,0.88585,0.00333,1,0.43158,0.35575,0.73781,3.11155,0.85835,0.000902222,0.000902222,0.000902222
35,338.93,0.88743,1.15719,0.97263,0.00333,1,0.4314,0.34628,0.88569,3.15848,0.87639,0.000915492,0.000915492,0.000915492
36,348.974,0.80716,0.98857,0.90182,0.00333,1,0.43895,0.37031,0.8482,3.0931,0.89971,0.00092797,0.00092797,0.00092797
37,358.365,0.85433,1.23792,0.94616,0.00333,1,0.43895,0.37031,0.8482,3.0931,0.89971,0.000939656,0.000939656,0.000939656
38,368.04,0.79198,1.1718,0.88004,0.00333,1,0.44225,0.37547,0.91526,3.0932,0.9087,0.00095055,0.00095055,0.00095055
39,377.211,0.71724,1.00348,0.89866,0.00333,1,0.47139,0.39,0.83515,3.01377,0.89808,0.000960652,0.000960652,0.000960652
40,386.907,0.84158,1.1456,0.95704,0.00333,1,0.47139,0.39,0.83515,3.01377,0.89808,0.000969962,0.000969962,0.000969962
41,397.841,0.83088,1.15737,0.9338,0.00333,1,0.45162,0.3843,0.79256,3.03073,0.87774,0.00097848,0.00097848,0.00097848
42,407.672,0.8575,1.05249,0.95168,0.00667,1,0.49077,0.39671,0.80277,2.91464,0.87909,0.000986206,0.000986206,0.000986206
43,417.385,0.80801,1.08015,0.88882,0.00667,1,0.49077,0.39671,0.80277,2.91464,0.87909,0.00099314,0.00099314,0.00099314
44,428.375,0.86891,0.9817,0.91582,0.97663,0.5,0.60736,0.46176,0.8813,2.81171,0.89428,0.000999282,0.000999282,0.000999282
45,437.924,0.71316,0.90284,0.90282,0.97663,0.5,0.60736,0.46176,0.8813,2.81171,0.89428,0.00100463,0.00100463,0.00100463
46,447.111,0.80677,1.00705,0.88217,1,0.46486,0.90621,0.72667,0.81649,2.73685,0.86872,0.00100919,0.00100919,0.00100919
47,456.221,0.75091,1.09617,0.86211,1,0.46486,0.90621,0.72667,0.81649,2.73685,0.86872,0.00101296,0.00101296,0.00101296
48,466.441,0.84144,1.16591,0.91549,1,0.48574,0.995,0.79463,0.82182,2.64781,0.85868,0.00101593,0.00101593,0.00101593
49,476.021,0.70903,1.10016,0.85085,1,0.48574,0.995,0.79463,0.82182,2.64781,0.85868,0.00101811,0.00101811,0.00101811
50,485.41,0.80768,1.13138,0.89501,1,0.4963,0.995,0.80302,0.85587,2.38625,0.86922,0.0010195,0.0010195,0.0010195
51,495.446,0.74939,1.09953,0.88938,1,0.4963,0.995,0.80302,0.85587,2.38625,0.86922,0.00101,0.00101,0.00101
52,505.051,0.68962,0.89291,0.87128,0.99656,1,0.995,0.79453,0.785,2.11443,0.87597,0.0009902,0.0009902,0.0009902
53,514.491,0.73259,1.00758,0.82274,0.99656,1,0.995,0.79453,0.785,2.11443,0.87597,0.0009704,0.0009704,0.0009704
54,524.281,0.74525,0.87788,0.86547,0.97032,1,0.995,0.79103,0.7687,1.96144,0.87841,0.0009506,0.0009506,0.0009506
